,name,address,distance,rating,comment,price
230,Santos Hotel,"Datong District , Taipei",2.1 k,7.5,Good,"TWD 2,852"
231,Hamp Court Palace Taipei,"Zhongshan District, Taipei",2.1 k,8.7,Excellent,"TWD 8,820"
232,CHECK inn Taipei Nanjing,"Zhongshan District, Taipei",2.1 k,8.2,Very Good,"TWD 4,000"
233,CY Hotel,"Zhongshan District, Taipei",2.1 k,8.5,Very Good,"TWD 4,320"
234,Rido Hotel,"Daan District, Taipei",2.1 k,8.6,Excellent,"TWD 3,754"
235,K Hotel Taipei Songjiang,"Zhongshan District, Taipei",2.1 k,8.6,Excellent,"TWD 4,655"
236,CHECK inn Taipei Songjiang,"Zhongshan District, Taipei",2.2 k,8.3,Very Good,"TWD 4,118"
237,Taipei Discover Hostel,"Zhongshan District, Taipei",2.2 k,8.7,Excellent,"TWD 1,700"
238,Dandy Hotel-Daan Park Branch,"Daan District, Taipei",2.2 k,8.8,Excellent,"TWD 7,200"
239,The Landis Taipei,"Zhongshan District, Taipei",2.2 k,8.9,Excellent,"TWD 8,237"
240,Jolley Hotel,"Zhongshan District, Taipei",2.2 k,9.3,Wonderful,"TWD 6,536"
241,Waikoloa Hotel,"Zhongshan District, Taipei",2.2 k,8.6,Excellent,"TWD 3,600"
242,"Fullon Hotel Taipei, Central","Daan District, Taipei",2.2 k,8.4,Very Good,"TWD 5,382"
243,Cai She Hotel,"Zhongshan District, Taipei",2.3 k,7.4,Good,"TWD 3,600"
244,Royal Rose Hotel Shuangcheng Hall,"Zhongshan District, Taipei",2.3 k,8.3,Very Good,"TWD 4,447"
245,Unite Hotel,"Zhongshan District, Taipei",2.3 k,7.7,Good,"TWD 3,883"
246,Hotel COZZI Minsheng Taipei,"Zhongshan District, Taipei",2.3 k,8.7,Excellent,"TWD 5,200"
247,Dasin,"Zhongshan District, Taipei",2.3 k,7.0,Good,"TWD 2,750"
248,Meadow Hotel Taipei,"Zhongshan District, Taipei",2.3 k,7.2,Good,"TWD 3,340"
249,Backpackers Hostel - Taipei Changchun,"Zhongshan District, Taipei",2.3 k,8.0,Very Good,"TWD 1,500"
250,Wholesome Hotel,"Wanhua District , Taipei",2.3 k,7.9,Good,"TWD 3,700"
251,Taipei Lotty Hotel,"Zhongshan District, Taipei",2.3 k,7.7,Good,"TWD 2,449"
252,Caesar Metro Taipei,"Wanhua District , Taipei",2.3 k,8.3,Very Good,"TWD 5,800"
253,貴都飯店-Crystal Hotel Taipei,"Wanhua District , Taipei",2.3 k,6.1,Review score,"TWD 2,080"
254,Courtyard by Marriott Taipei Downtown,"Zhongshan District, Taipei",2.4 k,9.1,Wonderful,"TWD 7,600"
255,苓旅中山館-Lininn ZhongShan,"Zhongshan District, Taipei",2.4 k,8.6,Excellent,"TWD 3,580"
256,FX Hotel Taipei Nanjing East Road Branch,"Zhongshan District, Taipei",2.4 k,8.1,Very Good,"TWD 3,571"
257,Silken Hotel,"Zhongshan District, Taipei",2.5 k,8.5,Very Good,"TWD 3,492"
258,Hotel Metropolitan Premier Taipei,"Zhongshan District, Taipei",2.5 k,8.9,Excellent,"TWD 8,910"
259,JSL hotel,"Zhongshan District, Taipei",2.5 k,8.4,Very Good,"TWD 5,591"
260,Walker Hotel - Zhengyi 2,"Sanchong District , Taipei",2.5 k,6.6,Review score,"TWD 2,336"
261,Urbanone Hotel,"Sanchong District , Taipei",2.5 k,6.7,Review score,"TWD 1,480"
262,The Metro Hotel - Taipei Branch,"Zhongshan District, Taipei",2.5 k,8.0,Very Good,"TWD 3,400"
263,Walker Hotel - Zhengyi,"Sanchong District , Taipei",2.5 k,6.6,Review score,"TWD 2,236"
264,Goodmore Hotel,"Daan District, Taipei",2.5 k,8.1,Very Good,"TWD 4,280"
265,The Riviera Hotel Taipei,"Zhongshan District, Taipei",2.6 k,8.7,Excellent,"TWD 5,850"
266,City Hotel,"Zhongshan District, Taipei",2.6 k,7.4,Good,"TWD 2,580"
267,Ark Hotel - Changan Fuxing方舟商業股份有限公司,"Zhongshan District, Taipei",2.6 k,8.0,Very Good,"TWD 3,500"
268,Horizon Inn,"Zhongshan District, Taipei",2.6 k,8.2,Very Good,"TWD 3,040"
269,Amici hotel Six Star Hostel,"Daan District, Taipei",2.6 k,7.4,Good,"TWD 3,423"
270,Hey Bear Capsule Hotel,"Sanchong District , Taipei",2.6 k,8.1,Very Good,"TWD 1,686"
271,Deja Vu Hotel,"Daan District, Taipei",2.6 k,7.9,Good,"TWD 5,300"
272,RF Hotel - Sanchong,"Sanchong District , Taipei",2.7 k,7.6,Good,"TWD 2,515"
273,Chez Nous,"Daan District, Taipei",2.7 k,9.0,Wonderful,"TWD 5,735"
274,The Howard Plaza Hotel Taipei,"Daan District, Taipei",2.7 k,8.4,Very Good,"TWD 6,000"
275,Wemeet Hotel Taipei,"Sanchong District , Taipei",2.7 k,7.7,Good,"TWD 2,475"
276,台北碧瑤飯店 Hotel B,"Songshan District , Taipei",2.7 k,8.1,Very Good,"TWD 3,000"
277,Urtrip Hotel,"Songshan District , Taipei",2.7 k,8.4,Very Good,"TWD 4,697"
278,Brother Hotel,"Songshan District , Taipei",2.8 k,8.9,Excellent,"TWD 4,650"
279,The Tango Hotel Taipei FuHsing,"Songshan District , Taipei",2.8 k,8.7,Excellent,"TWD 4,320"
280,Hub Hotel - Songshan Airport Branch,"Zhongshan District, Taipei",2.8 k,8.3,Very Good,"TWD 3,480"
281,les suites taipei ching cheng,"Songshan District , Taipei",2.9 k,8.8,Excellent,"TWD 6,783"
282,Kimpton Da An Taipei- an IHG Hotel,"Daan District, Taipei",2.9 k,9.1,Wonderful,"TWD 9,851"
283,Guide Hotel Taipei NTU,"Zhongzheng District, Taipei",2.9 k,7.2,Good,"TWD 3,765"
284,Delight Hotel,"Songshan District , Taipei",2.9 k,8.3,Very Good,"TWD 3,200"
285,Hotel Proverbs Taipei,"Daan District, Taipei",2.9 k,9.1,Wonderful,"TWD 11,192"
286,Love Hotel,"Sanchong District , Taipei",2.9 k,6.4,Review score,"TWD 2,000"
287,Tai Hope Hotel,"Songshan District , Taipei",2.9 k,7.6,Good,"TWD 3,400"
288,Wowhappy Daan,"Daan District, Taipei",2.9 k,8.4,Very Good,"TWD 3,978"
289,Park Taipei Hotel,"Daan District, Taipei",3 km,8.6,Excellent,"TWD 6,720"
290,Shanger Hotel,"Sanchong District , Taipei",3 km,7.4,Good,"TWD 1,224"
291,Forever Inn,"Zhongshan District, Taipei",3 km,7.8,Good,"TWD 4,500"
292,Les Suites Taipei - Da An,"Daan District, Taipei",3 km,8.2,Very Good,"TWD 5,850"
293,Guide Hotel Taipei Fuxing North,"Songshan District , Taipei",3 km,6.7,Review score,"TWD 2,824"
294,Walker Hotel - Sanchong,"Sanchong District , Taipei",3 km,7.2,Good,"TWD 3,751"
295,Walker Hotel - Chenggong,"Sanchong District , Taipei",3 km,7.3,Good,"TWD 3,864"
296,CityInn Hotel Plus- Fuxing North Road Branch,"Zhongshan District, Taipei",3 km,9.1,Wonderful,"TWD 5,760"
297,Hej Taipei,"Daan District, Taipei",3.1 k,8.3,Very Good,"TWD 4,000"
298,K Hotel Taipei Nanjing,"Songshan District , Taipei",3.1 k,8.6,Excellent,"TWD 6,525"
299,Taipei Fullerton Hotel-Maison North,"Songshan District , Taipei",3.1 k,8.9,Excellent,"TWD 5,445"
300,Swiio Hotel Daan,"Daan District, Taipei",3.1 k,9.0,Wonderful,"TWD 9,002"
301,Taiwan Seven Days Boutique Hotel,"Wanhua District , Taipei",3.1 k,7.5,Good,"TWD 2,647"
302,Taipei Fullerton Hotel - South,"Daan District, Taipei",3.1 k,8.3,Very Good,"TWD 5,712"
303,Happiness meworld,"Daan District, Taipei",3.1 k,7.7,Good,"TWD 4,186"
304,ILLUME Taipei,"Songshan District , Taipei",3.2 k,8.3,Very Good,"TWD 6,584"
305,美寓藝術文旅 Meistay Art Gallery Hotel,"Songshan District , Taipei",3.2 k,8.2,Very Good,"TWD 4,455"
306,S Hotel | Designed by Philippe Starck,"Songshan District , Taipei",3.2 k,7.6,Good,"TWD 6,175"
307,HopeCity MinSheng Hotel,"Songshan District , Taipei",3.3 k,7.8,Good,"TWD 3,600"
308,Attic Hotel,"Zhongshan District, Taipei",3.3 k,8.0,Very Good,"TWD 1,880"
309,Mandarin Oriental Taipei,"Songshan District , Taipei",3.3 k,9.2,Wonderful,"TWD 23,000"
310,Hotel Eclat Taipei,"Daan District, Taipei",3.4 k,8.2,Very Good,"TWD 8,316"
311,安庭台北商旅,"Daan District, Taipei",3.4 k,7.2,Good,"TWD 4,325"
312,Madison Taipei Hotel,"Daan District, Taipei",3.5 k,8.9,Excellent,"TWD 6,800"
313,Green World ZhongXiao,"Daan District, Taipei",3.5 k,8.5,Very Good,"TWD 6,820"
314,東鑫商務旅館Eastern Star Hotel,"Daan District, Taipei",3.5 k,6.9,Review score,"TWD 2,380"
315,Vendome East Inn,"Daan District, Taipei",3.5 k,7.1,Good,"TWD 4,880"
316,arTree hotel,"Songshan District , Taipei",3.5 k,8.8,Excellent,"TWD 8,151"
317,CHIENTAN Youth Hotel,"Shilin District , Taipei",3.6 k,8.0,Very Good,"TWD 4,416"
318,喜客商旅 Seeker Hotel - Sanchong,"Sanchong District , Taipei",3.6 k,7.5,Good,"TWD 2,751"
319,Hotelpoispois,"Daan District, Taipei",3.6 k,7.8,Good,"TWD 3,403"
320,CHECK inn Select New Taipei Sanchong,"Sanchong District , Taipei",3.6 k,8.5,Very Good,"TWD 4,000"
321,RF Hotel - Zhongxiao,"Daan District, Taipei",3.7 k,7.8,Good,"TWD 3,929"
322,Discovery Motel - Yanping,"Shilin District , Taipei",3.8 k,7.4,Good,"TWD 2,888"
323,An Ho Hotel,"Daan District, Taipei",3.8 k,7.6,Good,"TWD 2,280"
324,Hotel HD Palace,"Daan District, Taipei",3.8 k,7.7,Good,"TWD 6,760"
325,"Shangri-La Far Eastern, Taipei","Daan District, Taipei",3.9 k,8.6,Excellent,"TWD 11,319"
326,Hej Taipei Arena Hotel,"Songshan District , Taipei",3.9 k,8.1,Very Good,"TWD 4,140"
327,United Hotel,"Daan District, Taipei",4 km,8.2,Very Good,"TWD 5,000"
328,Taipei Charming City Hotel,"Daan District, Taipei",4.1 k,7.6,Good,"TWD 4,942"
329,The Tango Hotel Taipei Shilin,"Shilin District , Taipei",4.1 k,8.7,Excellent,"TWD 6,732"
330,The Tango Hotel Taipei Jiantan,"Shilin District , Taipei",4.1 k,8.9,Excellent,"TWD 6,395"
331,Green World Triple Beds,"Songshan District , Taipei",4.1 k,8.4,Very Good,"TWD 3,840"
332,K Hotel Taipei Dunnan,"Daan District, Taipei",4.2 k,8.4,Very Good,"TWD 3,870"
333,Beauty Hotels - Star Beauty Resort,"Shilin District , Taipei",4.2 k,7.8,Good,"TWD 4,675"
334,Eslite Hotel,"Xinyi District, Taipei",4.3 k,9.2,Wonderful,"TWD 13,415"
335,Pacific Business Hotel,"Xinyi District, Taipei",4.3 k,8.5,Very Good,"TWD 4,935"
336,May Rooms Taipei NTU,"Zhongzheng District, Taipei",4.3 k,7.4,Good,"TWD 2,537"
337,Hotel East Taipei,"Songshan District , Taipei",4.3 k,8.4,Very Good,"TWD 4,576"
338,Hostel Jiizu,"Songshan District , Taipei",4.4 k,8.2,Very Good,"TWD 3,600"
339,Riyuexing Hotel,"Shilin District , Taipei",4.4 k,7.2,Good,"TWD 3,880"
340,WORK INN at Taipei 101,"Xinyi District, Taipei",4.4 k,7.8,Good,"TWD 1,618"
341,Formosa 101,"Xinyi District, Taipei",4.4 k,8.1,Very Good,"TWD 1,847"
342,Members Hotel at Taipei 101,"Xinyi District, Taipei",4.4 k,8.5,Very Good,"TWD 4,680"
343,Guide Hotel Taipei Xinyi,"Xinyi District, Taipei",4.5 k,6.9,Review score,"TWD 3,294"
344,Fooyee Hotel - Yonghe,Taipei,4.6 k,7.9,Good,"TWD 2,554"
345,Just Sleep - Sanchong,"Sanchong District , Taipei",4.6 k,9.1,Wonderful,"TWD 5,318"
346,Golden Garden Hotel,"Songshan District , Taipei",4.6 k,8.0,Very Good,"TWD 3,319"
347,Hanns House,"Xinyi District, Taipei",4.7 k,9.1,Wonderful,"TWD 10,260"
348,The One Donni Inn,"Shilin District , Taipei",4.7 k,8.0,Very Good,"TWD 3,680"
349,Grand Hyatt Taipei,"Xinyi District, Taipei",4.7 k,8.4,Very Good,"TWD 13,317"
350,Guide Hotel Taipei Bade,"Songshan District , Taipei",4.7 k,7.6,Good,"TWD 3,294"
351,York Hotel,"Banqiao, Taipei",4.7 k,7.8,Good,"TWD 2,500"
352,Just Inn Taipei (Xin Yi),"Xinyi District, Taipei",4.8 k,8.0,Very Good,"TWD 3,397"
353,Boutech JianTan Hotel,"Shilin District , Taipei",4.8 k,8.6,Excellent,"TWD 4,463"
354,Taipei 101 SPARKLE Hotel,"Xinyi District, Taipei",4.8 k,7.9,Good,"TWD 5,184"
355,M Taipei Hotel,"Xinyi District, Taipei",4.8 k,7.8,Good,"TWD 3,312"
356,Uinn Business Hotel-Shihlin,"Shilin District , Taipei",4.8 k,8.6,Excellent,"TWD 3,100"
357,W Taipei,"Xinyi District, Taipei",4.9 k,8.6,Excellent,"TWD 25,500"
358,Sunrise Hotel,"Xinyi District, Taipei",5 km,7.8,Good,"TWD 4,180"
359,Greatt Hotel,"Shilin District , Taipei",5.1 k,8.1,Very Good,"TWD 4,500"
360,Humble House Taipei,"Xinyi District, Taipei",5.1 k,8.6,Excellent,"TWD 10,395"
361,Le Meridien Taipei,"Xinyi District, Taipei",5.2 k,8.2,Very Good,"TWD 11,100"
362,Papersun Hotel,"Shilin District , Taipei",5.2 k,7.8,Good,"TWD 3,350"
363,Hotel Color,"Banqiao, Taipei",5.2 k,8.0,Very Good,"TWD 3,380"
364,Home Hotel,"Xinyi District, Taipei",5.2 k,8.0,Very Good,"TWD 6,290"
365,Grand Mayfull Taipei,"Zhongshan District, Taipei",5.2 k,9.3,Wonderful,"TWD 8,153"
366,NK Hostel,"Songshan District , Taipei",5.3 k,8.6,Excellent,"TWD 2,089"
367,City Suites - Taipei Nandong,"Songshan District , Taipei",5.3 k,8.3,Very Good,"TWD 4,183"
368,Park City Hotel - Luzhou Taipei,"Luzhou District , Taipei",5.3 k,8.8,Excellent,"TWD 4,150"
369,Yes Motel,Taipei,5.3 k,7.4,Good,"TWD 2,980"
370,Renaissance Taipei Shihlin Hotel,"Shilin District , Taipei",5.3 k,8.5,Very Good,"TWD 7,483"
371,欣欣時尚旅店松山站,"Songshan District , Taipei",5.4 k,7.0,Good,"TWD 2,600"
372,CHECK inn New Taipei LuZhou,"Luzhou District , Taipei",5.4 k,8.6,Excellent,"TWD 3,412"
373,Lacle Hotel-Luzhou Taipei,"Luzhou District , Taipei",5.5 k,8.7,Excellent,"TWD 3,420"
374,Carnival Motel,"Luzhou District , Taipei",5.5 k,7.0,Good,"TWD 1,500"
375,Tango Motel,"Xinyi District, Taipei",5.6 k,8.2,Very Good,"TWD 4,700"
376,The Tango Hotel Taipei XinYi,"Xinyi District, Taipei",5.6 k,8.3,Very Good,"TWD 5,103"
377,Taipei Marriott Hotel,"Zhongshan District, Taipei",5.7 k,8.6,Excellent,"TWD 8,100"
378,Wego Funtel - Dazhi Branch,"Zhongshan District, Taipei",5.7 k,8.0,Very Good,"TWD 3,135"
379,Nice Hotel,"Songshan District , Taipei",5.7 k,7.7,Good,"TWD 3,500"
380,Jasper Young Hotel Banqiao,"Banqiao, Taipei",5.7 k,9.1,Wonderful,"TWD 7,433"
381,Hub Hotel Songshan Inn,"Songshan District , Taipei",5.7 k,7.5,Good,"TWD 1,984"
382,Place‧X Hotel,"Xinyi District, Taipei",5.7 k,6.8,Review score,"TWD 2,753"
383,森浩文旅,"Songshan District , Taipei",5.8 k,8.2,Very Good,"TWD 2,680"
384,Waterfront Hotel,"Songshan District , Taipei",5.8 k,8.6,Excellent,"TWD 3,782"
385,Hotel Lee-Chan,"Songshan District , Taipei",5.8 k,7.0,Good,"TWD 1,658"
386,Best Hotel,"Songshan District , Taipei",5.8 k,7.2,Good,"TWD 1,700"
387,Capital Hotel SongShan,"Songshan District , Taipei",5.9 k,7.9,Good,"TWD 4,152"
388,Royal Garden Hotel,"Banqiao, Taipei",5.9 k,7.7,Good,"TWD 1,980"
389,Mulan Motel Taipei,"Zhongshan District, Taipei",5.9 k,7.3,Good,"TWD 3,816"
390,"Hotel Indigo Taipei North, an IHG Hotel","Zhongshan District, Taipei",5.9 k,8.3,Very Good,"TWD 8,732"
391,Grand Victoria Hotel,"Zhongshan District, Taipei",5.9 k,8.6,Excellent,"TWD 5,267"
392,S Aura Hotel,"Zhongshan District, Taipei",6 km,8.1,Very Good,"TWD 6,600"
393,Puremeworld Hotel,"Xinyi District, Taipei",6.1 k,7.5,Good,"TWD 2,693"
394,Archess Hotel,"Shilin District , Taipei",6.3 k,8.1,Very Good,"TWD 2,880"
395,Yusense Hotel,"Shilin District , Taipei",6.4 k,8.8,Excellent,"TWD 5,880"
396,Macchi Hotel - Taipei,"Wenshan District, Taipei",6.5 k,8.1,Very Good,"TWD 2,772"
397,Guest Hotel,"Wenshan District, Taipei",6.5 k,7.8,Good,"TWD 2,480"
398,Green World SongShan,"Nangang District, Taipei",6.7 k,8.3,Very Good,"TWD 5,760"
399,Hilton Taipei Sinban,"Banqiao, Taipei",6.7 k,8.5,Very Good,"TWD 6,930"
400,Caesar Park Hotel Banqiao,"Banqiao, Taipei",6.7 k,8.8,Excellent,"TWD 5,500"
401,HOTEL CHAM CHAM - Taipei,"Banqiao, Taipei",6.8 k,9.0,Wonderful,"TWD 4,500"
402,Chengdian Hotel,"Banqiao, Taipei",6.8 k,7.7,Good,"TWD 2,500"
403,Hub Hotel Banqiao Branch,"Banqiao, Taipei",6.9 k,8.1,Very Good,"TWD 3,780"
404,Golden Hotel,"Banqiao, Taipei",6.9 k,7.7,Good,"TWD 3,280"
405,Just Palace Hotel,"Neihu District , Taipei",7 km,8.9,Excellent,"TWD 5,000"
406,Sofu Hotel,"Banqiao, Taipei",7 km,7.4,Good,"TWD 1,685"
407,Chamotel - Lujhou,"Luzhou District , Taipei",7.1 k,8.1,Very Good,"TWD 1,780"
408,MRT Hotel,"Banqiao, Taipei",7.1 k,7.9,Good,"TWD 3,500"
409,Single Inn - Taipei,"Banqiao, Taipei",7.1 k,7.8,Good,"TWD 2,616"
410,Noble Hotel,"Shilin District , Taipei",7.1 k,7.9,Good,"TWD 2,790"
411,Golden Age Hotel,"Banqiao, Taipei",7.1 k,7.5,Good,"TWD 1,999"
412,Champion Hotel,"Banqiao, Taipei",7.2 k,7.6,Good,"TWD 2,280"
413,Purple Rainbow Motel,"Luzhou District , Taipei",7.2 k,7.5,Good,"TWD 2,700"
414,Morwing Hotel - Ocean,"Banqiao, Taipei",7.3 k,7.8,Good,"TWD 2,282"
415,Sleep Taipei,"Banqiao, Taipei",7.3 k,6.7,Review score,"TWD 2,980"
416,Forward Suites II,"Banqiao, Taipei",7.3 k,7.4,Good,"TWD 3,100"
417,Grand Forward Hotel,"Banqiao, Taipei",7.3 k,8.8,Excellent,"TWD 5,148"
418,Forward Suites Ⅰ,"Banqiao, Taipei",7.4 k,7.5,Good,"TWD 3,300"
419,Grace Hotel,"Banqiao, Taipei",7.4 k,7.5,Good,"TWD 3,496"
420,Love Tree Motel,"Banqiao, Taipei",7.5 k,7.8,Good,"TWD 2,480"
421,Tianmu Star Urban Living,"Beitou District, Taipei",7.5 k,7.5,Good,"TWD 2,900"
422,Ya Dou Hotel,"Banqiao, Taipei",7.6 k,5.6,Review score,"TWD 1,980"
423,Sleep Taipei Hotel - Nanya,"Banqiao, Taipei",7.6 k,7.0,Good,"TWD 2,412"
424,Dandy Hotel - Tianmu Branch,"Shilin District , Taipei",7.7 k,8.9,Excellent,"TWD 3,665"
425,旅居文旅板橋驛站-湳雅夜市館Hub Hotel Banqiao inn-Nanya Night Market Branch,"Banqiao, Taipei",7.8 k,8.0,Very Good,"TWD 3,312"
426,Walker Motel,"Beitou District, Taipei",7.8 k,7.4,Good,"TWD 2,784"
427,Hubhotel Benqiao Inn Far Eastern Branch,"Banqiao, Taipei",8 km,7.9,Good,"TWD 2,980"
428,Uline Motel,"Nangang District, Taipei",8 km,6.7,Review score,"TWD 2,980"
429,CHECK inn Taipei Neihu,"Neihu District , Taipei",8 km,7.9,Good,"TWD 4,118"
430,CHECK inn Select Taipei Nangang,"Nangang District, Taipei",8 km,7.9,Good,"TWD 3,765"
431,Discovery Motel - Nangang,"Nangang District, Taipei",8.1 k,6.8,Review score,"TWD 3,267"
432,Royal Jade Boutique Hotel,"Shilin District , Taipei",8.2 k,8.5,Very Good,"TWD 2,400"
433,Norway Forest Villa Motel,"Banqiao, Taipei",8.3 k,8.1,Very Good,"TWD 2,980"
434,In-stone Motel,"Wenshan District, Taipei",8.4 k,7.8,Good,"TWD 2,552"
435,Beauty Hotels - Beautique Hotel,"Shilin District , Taipei",8.4 k,7.5,Good,"TWD 4,320"
436,Mellow Fields Hotel,"Shilin District , Taipei",8.6 k,8.6,Excellent,"TWD 3,111"
437,Aloft Taipei Beitou,"Beitou District, Taipei",8.9 k,8.0,Very Good,"TWD 4,100"
438,Courtyard by Marriott Taipei,"Nangang District, Taipei",9 km,8.2,Very Good,"TWD 7,400"
439,May Rooms Taipei Nangang Station,"Nangang District, Taipei",9.4 k,7.8,Good,"TWD 2,295"
440,Dahu Park Hotel,"Neihu District , Taipei",9.4 k,8.6,Excellent,"TWD 4,046"
441,On My Way - Taipei Hostel,"Beitou District, Taipei",9.8 k,8.5,Very Good,"TWD 1,556"
442,The Gaia Hotel - Taipei,"Beitou District, Taipei",9.9 k,8.4,Very Good,"TWD 25,800"
443,Aqua Bella Hotel,"Beitou District, Taipei",10 km,8.3,Very Good,"TWD 5,600"
444,Empire Hotel,"Beitou District, Taipei",10 km,6.6,Review score,"TWD 1,967"
445,Phoenix Pavilion Hot Spring Hotel,"Beitou District, Taipei",10 km,8.3,Very Good,"TWD 8,640"
446,Gorgeous Hot Spring Resort,"Beitou District, Taipei",10 km,7.8,Good,"TWD 3,848"
447,Radium Kagaya Taipei,"Beitou District, Taipei",10 km,8.8,Excellent,"TWD 20,133"
448,Kyokusui Hotspring Hotel,"Beitou District, Taipei",10.1,8.1,Very Good,"TWD 4,780"
449,XDZ Hotel,"Beitou District, Taipei",10.1,8.2,Very Good,"TWD 2,400"
450,Atami Hotel,"Beitou District, Taipei",10.1,6.2,Review score,"TWD 2,520"
451,Water House,"Beitou District, Taipei",10.1,8.0,Very Good,"TWD 6,726"
452,Chyuan Du Spring Resort,"Beitou District, Taipei",10.1,7.8,Good,"TWD 3,500"
453,Spa Spring Resort,"Beitou District, Taipei",10.1,6.3,Review score,"TWD 4,780"
454,Hotel Double One,"Beitou District, Taipei",10.1,7.9,Good,"TWD 6,715"
455,Asia Pacific Hotel Beitou,"Beitou District, Taipei",10.1,8.5,Very Good,"TWD 10,450"
456,Beautyage Spring Hotel,"Beitou District, Taipei",10.1,7.8,Good,"TWD 3,960"
457,Spring City Resort,"Beitou District, Taipei",10.2,7.7,Good,"TWD 7,200"
458,Grand View Resort Beitou,"Beitou District, Taipei",10.2,9.2,Wonderful,"TWD 32,032"
459,Hotel Royal Beitou,"Beitou District, Taipei",10.2,8.4,Very Good,"TWD 13,050"
460,American Village Resort,"Shilin District , Taipei",10.3,8.9,Excellent,"TWD 18,800"
461,Shan-Yue Hotspring Hotel,"Beitou District, Taipei",10.3,7.5,Good,"TWD 3,200"
462,Grand HiLai Taipei,"Nangang District, Taipei",10.3,8.1,Very Good,"TWD 7,472"
463,Great Family Hotel,"Beitou District, Taipei",10.4,8.1,Very Good,"TWD 2,480"
464,Jeanette Home,Taipei,10.4,9.6,Exceptional,"TWD 3,970"
465,CHECK inn Select Taipei Yamgmingshan,"Shilin District , Taipei",11.3,7.4,Good,"TWD 6,354"
466,Yanmin Hot Spring Resort,"Shilin District , Taipei",12.5,7.9,Good,"TWD 6,800"
